Age,BusinessTravel,DailyRate,Department,DistanceFromHome,JobLevel,HourlyRate,JobRole,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,training,JobSatisfaction,PerformanceRating,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
51,Non-Travel,607,Research & Development,29,5,149,Human Resources,Other,1,F,1,2,2,2,Single,3,No,16,2,2,24,2,14,7,0,5,No
29,Travel_Frequently,1120,Research & Development,31,3,69,Sales Executive,Other,2,M,3,0,1,1,Divorced,6,No,12,1,2,28,4,17,11,9,4,Yes
25,Travel_Rarely,578,Sales,49,1,136,Laboratory Technician,Sales,4,M,4,2,2,2,Married,5,No,14,4,1,40,1,26,14,10,1,Yes
59,Travel_Rarely,1046,Sales,4,4,80,Manufacturing Director,Other,1,M,4,4,5,2,Married,7,No,11,4,2,16,4,23,13,14,8,Yes
53,Non-Travel,1307,Research & Development,22,3,115,Manufacturing Director,Life Sciences,4,F,3,0,1,1,Divorced,7,No,12,3,1,36,4,25,6,0,2,No
22,Non-Travel,866,Sales,36,5,145,Manufacturing Director,Medical,1,M,4,5,5,5,Single,6,No,15,2,3,2,3,30,8,8,3,Yes
35,Travel_Frequently,626,Sales,45,5,41,Research Scientist,Other,2,F,2,3,2,2,Married,6,No,25,4,3,5,2,15,9,6,16,No
37,Non-Travel,535,Sales,6,5,93,Research Scientist,Medical,3,M,2,4,5,2,Married,2,No,21,4,2,35,2,29,13,7,2,Yes
42,Non-Travel,215,Research & Development,34,2,121,Research Scientist,Technical Degree,4,M,2,6,5,5,Divorced,8,No,20,3,1,35,3,7,20,9,11,No
55,Non-Travel,796,Human Resources,32,1,74,Laboratory Technician,Medical,4,F,3,2,2,2,Single,8,No,11,3,0,9,4,19,3,4,4,Yes
51,Travel_Frequently,1163,Sales,3,2,95,Manufacturing Director,Sales,3,F,4,0,1,1,Single,1,No,19,2,1,36,1,7,4,11,15,No
49,Non-Travel,381,Sales,5,4,147,Research Scientist,Technical Degree,3,M,3,4,5,2,Single,1,No,18,4,2,3,3,34,17,5,8,Yes
60,Travel_Rarely,999,Sales,16,4,63,Sales Executive,Human Resources,3,F,2,5,5,5,Divorced,3,No,22,3,2,0,3,7,14,6,16,No
35,Travel_Rarely,1314,Research & Development,40,4,58,Research Director,Technical Degree,3,F,4,3,2,2,Married,7,No,13,3,3,18,1,22,19,7,11,Yes
45,Travel_Frequently,1289,Sales,9,2,54,Sales Executive,Human Resources,4,F,1,3,2,2,Single,2,No,11,4,0,31,2,40,3,8,12,No
44,Travel_Frequently,131,Research & Development,10,1,48,Laboratory Technician,Other,4,M,1,6,5,5,Married,6,No,24,2,0,12,1,38,0,6,6,Yes
51,Travel_Frequently,1043,Human Resources,4,2,82,Healthcare Representative,Medical,1,F,1,6,5,5,Divorced,3,No,14,3,0,16,1,14,5,12,16,No
22,Travel_Frequently,773,Research & Development,44,2,94,Manager,Human Resources,4,M,4,4,5,2,Single,0,No,23,2,0,3,2,22,9,7,9,No
28,Travel_Frequently,1010,Human Resources,21,2,112,Manager,Human Resources,3,M,1,4,5,2,Divorced,0,No,25,2,0,36,4,0,13,11,1,Yes
27,Non-Travel,215,Human Resources,10,4,97,Sales Representative,Human Resources,4,F,4,6,5,5,Single,0,No,25,3,2,7,1,0,1,9,12,No
38,Travel_Rarely,974,Human Resources,34,1,122,Laboratory Technician,Human Resources,3,F,2,6,5,5,Married,4,No,22,2,0,23,2,4,2,14,12,Yes
25,Travel_Rarely,983,Research & Development,36,1,98,Human Resources,Sales,2,F,4,0,1,1,Married,4,No,13,3,0,4,1,33,16,4,17,No
30,Non-Travel,1396,Human Resources,28,1,113,Laboratory Technician,Human Resources,4,M,3,6,5,5,Married,3,No,23,2,1,21,1,9,6,14,12,Yes
39,Travel_Frequently,1369,Sales,13,1,93,Sales Representative,Other,2,M,2,0,1,1,Married,2,No,24,2,0,31,4,26,4,15,4,No
45,Travel_Frequently,564,Human Resources,27,4,99,Manager,Medical,4,F,4,3,2,2,Divorced,1,No,11,2,3,15,4,0,3,5,6,Yes
38,Non-Travel,1485,Research & Development,20,2,90,Sales Representative,Technical Degree,2,F,4,4,5,2,Divorced,1,No,19,4,0,3,2,31,0,8,6,Yes
22,Travel_Rarely,175,Human Resources,37,5,141,Research Director,Other,1,M,1,1,1,1,Married,1,No,11,3,3,35,4,1,1,1,14,Yes
59,Travel_Rarely,105,Human Resources,43,5,39,Manufacturing Director,Life Sciences,4,F,4,6,5,5,Married,4,No,17,3,3,17,4,2,14,9,6,No
49,Travel_Rarely,212,Human Resources,18,1,50,Laboratory Technician,Life Sciences,3,M,1,3,2,2,Married,4,No,15,2,1,33,4,0,14,10,8,Yes
40,Non-Travel,570,Research & Development,34,3,33,Sales Representative,Technical Degree,3,F,2,3,2,2,Single,0,No,23,4,2,28,3,24,10,12,9,Yes
19,Travel_Rarely,1106,Sales,26,4,102,Sales Executive,Technical Degree,2,M,1,2,2,2,Single,8,No,19,1,2,37,4,25,18,7,10,Yes
59,Non-Travel,536,Research & Development,50,2,83,Manager,Human Resources,4,F,1,0,1,1,Married,6,No,22,2,0,8,3,5,3,14,14,Yes
27,Travel_Rarely,1289,Research & Development,37,3,146,Sales Executive,Technical Degree,3,M,4,6,5,5,Single,0,No,19,4,2,14,3,6,6,15,6,No
53,Travel_Frequently,720,Human Resources,28,4,55,Sales Representative,Technical Degree,4,F,1,3,2,2,Single,2,No,25,1,3,10,2,24,10,15,7,Yes
45,Non-Travel,270,Research & Development,29,2,117,Sales Executive,Human Resources,2,F,3,0,1,1,Single,8,No,14,3,1,13,3,1,6,14,4,Yes
24,Travel_Rarely,847,Sales,48,1,104,Laboratory Technician,Life Sciences,2,F,1,5,5,5,Single,8,No,11,2,1,33,1,31,19,13,2,No
49,Non-Travel,736,Sales,6,5,141,Sales Executive,Sales,4,F,3,2,2,2,Divorced,4,No,14,3,3,33,2,21,3,5,6,Yes
33,Travel_Rarely,920,Research & Development,8,2,66,Research Scientist,Life Sciences,4,M,3,1,1,1,Divorced,6,No,14,4,1,6,4,30,1,2,8,Yes
32,Travel_Frequently,572,Human Resources,34,4,50,Sales Executive,Sales,2,F,4,2,2,2,Married,8,No,20,2,3,36,2,38,11,14,16,No
18,Non-Travel,547,Sales,31,5,104,Manufacturing Director,Other,4,F,4,0,1,1,Married,7,No,14,3,3,38,4,14,13,10,10,Yes
51,Travel_Rarely,942,Research & Development,4,2,132,Sales Executive,Human Resources,4,M,1,0,1,1,Divorced,3,No,12,1,0,39,3,27,6,15,10,Yes
56,Travel_Frequently,1335,Sales,32,1,120,Healthcare Representative,Human Resources,4,F,1,4,5,2,Single,4,No,13,3,1,13,2,24,6,0,3,No
58,Non-Travel,155,Human Resources,31,3,120,Sales Executive,Sales,2,M,4,6,5,5,Divorced,5,No,17,4,2,36,3,27,11,13,12,No
47,Travel_Rarely,1115,Research & Development,1,2,134,Sales Executive,Technical Degree,3,F,3,4,5,2,Married,2,No,24,3,0,17,3,26,6,10,17,Yes
60,Non-Travel,477,Research & Development,38,5,60,Manager,Other,1,M,4,0,1,1,Married,3,No,14,2,3,27,2,13,12,15,7,Yes
47,Travel_Rarely,578,Human Resources,28,1,139,Healthcare Representative,Medical,4,F,4,5,5,5,Married,2,No,17,1,1,39,3,22,15,14,3,No
27,Non-Travel,490,Sales,36,3,72,Healthcare Representative,Technical Degree,4,F,4,2,2,2,Single,5,No,12,3,2,22,2,3,12,7,8,Yes
31,Non-Travel,1424,Research & Development,10,4,62,Laboratory Technician,Human Resources,2,M,4,4,5,2,Divorced,3,No,25,1,3,35,4,13,3,11,5,No
41,Non-Travel,1418,Research & Development,18,5,127,Research Director,Medical,2,F,2,5,5,5,Married,3,No,10,3,3,4,1,10,10,4,15,No
44,Travel_Frequently,165,Research & Development,11,4,135,Manufacturing Director,Sales,2,F,2,1,1,1,Divorced,2,No,15,4,2,39,1,9,5,4,1,Yes
34,Travel_Rarely,283,Research & Development,4,3,121,Research Director,Technical Degree,2,F,3,1,1,1,Divorced,5,No,18,4,1,33,2,8,0,6,2,Yes
41,Travel_Frequently,167,Research & Development,50,5,145,Manufacturing Director,Medical,4,F,2,1,1,1,Divorced,7,No,21,1,3,38,1,7,9,6,3,No
27,Travel_Frequently,1093,Sales,22,5,62,Sales Executive,Sales,2,F,2,3,2,2,Married,0,No,21,3,2,31,2,25,2,5,4,No
28,Travel_Rarely,1114,Research & Development,36,4,32,Sales Representative,Other,1,F,2,3,2,2,Single,2,No,19,3,2,20,2,4,17,15,0,Yes
31,Travel_Rarely,1098,Human Resources,10,3,83,Research Director,Life Sciences,4,M,3,3,2,2,Single,0,No,18,1,1,25,3,16,7,1,9,Yes
41,Travel_Frequently,1245,Research & Development,19,3,106,Sales Executive,Human Resources,4,M,4,4,5,2,Married,3,No,14,3,2,6,3,1,10,1,16,Yes
22,Travel_Frequently,1332,Human Resources,46,2,33,Human Resources,Sales,3,M,1,2,2,2,Married,3,No,16,4,0,19,2,32,10,3,14,Yes
51,Non-Travel,443,Research & Development,20,5,121,Manager,Sales,3,F,3,3,2,2,Single,5,No,17,3,3,1,3,20,17,10,15,Yes
59,Travel_Frequently,342,Sales,31,1,104,Sales Representative,Technical Degree,3,F,4,5,5,5,Divorced,4,No,13,3,0,9,1,40,12,11,14,No
47,Non-Travel,1302,Research & Development,21,3,138,Sales Executive,Human Resources,3,M,1,1,1,1,Married,1,No,12,1,2,19,2,6,10,10,5,Yes
19,Travel_Frequently,528,Human Resources,33,1,85,Healthcare Representative,Other,3,F,4,6,5,5,Married,7,No,22,2,0,18,3,34,6,6,6,No
18,Travel_Frequently,1439,Human Resources,28,1,37,Sales Representative,Medical,1,F,2,2,2,2,Married,4,No,17,3,1,2,2,32,9,7,5,Yes
39,Non-Travel,567,Sales,35,5,71,Sales Executive,Life Sciences,4,M,1,6,5,5,Single,6,No,21,1,3,18,1,5,15,14,5,Yes
41,Travel_Frequently,547,Sales,49,2,71,Manager,Medical,4,M,4,1,1,1,Married,6,No,12,3,1,16,2,32,4,5,12,Yes
46,Travel_Rarely,1299,Research & Development,35,4,120,Sales Executive,Medical,4,M,2,2,2,2,Divorced,0,No,13,3,3,11,2,4,17,11,0,Yes
22,Travel_Frequently,378,Research & Development,48,2,76,Healthcare Representative,Technical Degree,2,M,2,6,5,5,Married,7,No,18,2,1,34,3,39,9,1,17,Yes
30,Non-Travel,388,Human Resources,47,4,30,Sales Representative,Other,2,F,2,5,5,5,Divorced,4,No,19,2,3,30,3,12,8,13,10,Yes
47,Travel_Rarely,1133,Research & Development,24,5,81,Research Director,Sales,3,F,3,1,1,1,Married,0,No,13,1,3,11,3,33,1,10,0,Yes
21,Travel_Rarely,554,Human Resources,41,2,145,Research Director,Life Sciences,1,M,4,4,5,2,Married,4,No,25,4,0,38,2,16,6,4,11,No
43,Travel_Frequently,1443,Research & Development,19,2,136,Manager,Human Resources,3,M,1,3,2,2,Single,8,No,15,2,0,21,1,1,3,6,11,Yes
19,Travel_Frequently,143,Research & Development,13,5,127,Sales Executive,Medical,2,F,2,4,5,2,Married,7,No,16,3,2,10,3,19,4,11,5,No
39,Travel_Frequently,931,Research & Development,15,5,134,Research Director,Sales,3,M,1,5,5,5,Single,0,No,22,1,3,2,1,22,20,0,11,Yes
39,Non-Travel,1178,Research & Development,46,3,95,Manufacturing Director,Life Sciences,4,F,1,4,5,2,Married,3,No,14,4,2,28,3,3,19,2,7,Yes
52,Travel_Frequently,769,Sales,42,2,110,Manufacturing Director,Human Resources,1,F,1,5,5,5,Single,3,No,18,2,1,13,4,0,12,4,15,Yes
30,Non-Travel,519,Research & Development,45,4,148,Research Director,Technical Degree,4,M,4,6,5,5,Single,7,No,19,1,3,35,2,40,6,0,3,No
21,Non-Travel,381,Sales,24,2,128,Sales Executive,Human Resources,4,M,4,5,5,5,Single,5,No,12,1,1,38,4,1,0,13,7,No
31,Travel_Frequently,637,Human Resources,35,2,61,Manager,Medical,4,F,3,1,1,1,Divorced,7,No,21,3,0,31,3,37,5,8,8,Yes
19,Travel_Rarely,679,Human Resources,4,3,32,Healthcare Representative,Technical Degree,2,F,2,3,2,2,Married,8,No,19,3,1,26,1,16,16,10,5,Yes
53,Travel_Frequently,1189,Human Resources,21,2,58,Research Director,Other,1,F,1,3,2,2,Divorced,8,No,18,3,1,14,3,34,19,5,6,Yes
58,Travel_Frequently,1037,Sales,24,5,77,Research Director,Other,4,F,3,0,1,1,Divorced,1,No,24,2,2,22,2,9,17,8,1,Yes
59,Travel_Frequently,1254,Human Resources,14,2,43,Sales Representative,Life Sciences,2,M,4,1,1,1,Married,2,No,11,3,1,18,2,9,7,1,2,No
51,Travel_Frequently,332,Human Resources,16,5,78,Research Scientist,Other,3,M,1,5,5,5,Divorced,0,No,22,2,2,33,4,37,14,14,4,Yes
35,Non-Travel,946,Sales,13,3,128,Sales Executive,Human Resources,4,M,1,6,5,5,Married,3,No,13,2,1,31,1,36,14,3,0,Yes
48,Travel_Rarely,863,Human Resources,47,2,83,Human Resources,Human Resources,2,M,4,1,1,1,Single,5,No,19,1,0,29,3,3,16,13,9,No
38,Travel_Rarely,1033,Human Resources,12,4,96,Sales Executive,Medical,3,M,1,3,2,2,Single,8,No,21,4,3,40,1,18,7,6,11,Yes
40,Non-Travel,667,Human Resources,26,5,56,Manager,Life Sciences,4,M,1,3,2,2,Single,7,No,23,4,2,2,2,18,16,5,15,Yes
19,Non-Travel,1495,Human Resources,8,2,108,Research Director,Other,3,M,4,5,5,5,Single,8,No,23,3,1,9,4,22,0,1,6,Yes
42,Non-Travel,239,Research & Development,18,3,140,Sales Executive,Sales,2,M,2,4,5,2,Single,2,No,10,2,2,6,2,23,13,2,10,Yes
23,Non-Travel,933,Human Resources,7,2,81,Sales Representative,Sales,2,M,2,3,2,2,Married,8,No,17,3,0,25,2,39,9,2,13,No
31,Non-Travel,836,Sales,17,4,69,Laboratory Technician,Life Sciences,2,F,4,6,5,5,Divorced,8,No,17,1,2,0,2,8,0,7,5,Yes
29,Travel_Frequently,1221,Research & Development,5,4,42,Laboratory Technician,Human Resources,4,M,3,1,1,1,Single,0,No,14,3,2,16,3,23,14,14,15,Yes
55,Travel_Frequently,1184,Human Resources,10,2,34,Healthcare Representative,Other,1,M,3,1,1,1,Single,1,No,19,3,0,21,4,29,17,15,2,Yes
55,Travel_Frequently,1336,Human Resources,6,3,118,Research Scientist,Sales,1,M,2,1,1,1,Single,3,No,24,1,2,15,3,4,11,14,6,Yes
38,Travel_Rarely,116,Human Resources,12,4,123,Research Director,Human Resources,2,M,1,6,5,5,Divorced,5,No,10,4,3,30,1,28,15,5,11,No
32,Travel_Frequently,984,Research & Development,37,1,71,Sales Representative,Technical Degree,3,F,4,2,2,2,Married,1,No,18,3,0,16,2,28,5,7,10,Yes
42,Travel_Frequently,1333,Sales,12,5,67,Manufacturing Director,Other,4,F,4,6,5,5,Single,1,No,23,2,3,29,3,30,15,11,5,Yes
24,Non-Travel,555,Human Resources,19,3,39,Laboratory Technician,Other,4,F,3,4,5,2,Single,1,No,15,1,1,29,3,40,19,9,11,Yes
22,Travel_Frequently,769,Sales,14,5,134,Manufacturing Director,Medical,1,M,1,2,2,2,Single,8,No,24,1,2,14,4,30,17,12,12,Yes
31,Travel_Frequently,1239,Human Resources,7,2,146,Research Director,Other,2,F,4,0,1,1,Single,3,No,17,1,1,4,2,22,2,3,3,Yes
37,Non-Travel,1392,Human Resources,37,1,58,Sales Representative,Technical Degree,2,F,4,1,1,1,Divorced,4,No,13,3,1,3,3,0,6,1,14,Yes
22,Travel_Frequently,237,Human Resources,38,5,71,Manager,Medical,4,F,1,4,5,2,Married,1,No,22,3,2,36,4,13,17,8,7,Yes
34,Travel_Frequently,1471,Human Resources,46,1,110,Laboratory Technician,Medical,1,M,2,6,5,5,Divorced,3,No,20,4,0,32,4,18,12,5,6,No
20,Travel_Rarely,1414,Research & Development,5,3,48,Laboratory Technician,Medical,3,M,4,0,1,1,Single,3,No,23,3,2,6,2,11,17,10,5,No
31,Non-Travel,1143,Human Resources,16,2,95,Sales Representative,Medical,1,M,3,0,1,1,Married,1,No,20,2,1,39,2,11,15,8,11,No
23,Travel_Rarely,424,Sales,31,5,67,Manager,Technical Degree,1,F,1,5,5,5,Single,0,No,25,4,2,40,4,26,16,2,12,No
56,Travel_Frequently,1134,Sales,35,1,50,Human Resources,Sales,2,F,1,2,2,2,Married,3,No,18,2,0,22,2,3,18,3,3,Yes
54,Travel_Frequently,673,Human Resources,45,2,65,Human Resources,Technical Degree,2,M,1,2,2,2,Single,2,No,25,2,1,28,3,8,15,4,11,Yes
58,Travel_Rarely,613,Research & Development,38,4,119,Sales Executive,Human Resources,4,F,1,1,1,1,Married,5,No,25,3,3,27,1,34,4,13,4,Yes
53,Travel_Frequently,115,Sales,1,5,102,Research Director,Technical Degree,1,F,4,0,1,1,Married,1,No,20,3,3,1,4,14,18,4,10,Yes
31,Travel_Frequently,828,Human Resources,33,1,120,Sales Representative,Technical Degree,4,F,3,1,1,1,Married,8,No,24,3,1,40,2,6,10,9,17,Yes
47,Travel_Rarely,268,Human Resources,45,3,41,Laboratory Technician,Technical Degree,2,F,2,1,1,1,Married,7,No,17,2,1,5,1,5,7,10,14,Yes
38,Travel_Frequently,803,Sales,37,1,133,Laboratory Technician,Medical,3,M,2,0,1,1,Divorced,8,No,17,2,1,31,3,29,13,2,16,No
18,Travel_Frequently,1269,Human Resources,22,1,62,Laboratory Technician,Human Resources,4,M,1,2,2,2,Single,8,No,14,3,0,40,4,32,1,6,14,Yes
46,Non-Travel,879,Research & Development,22,4,114,Manager,Technical Degree,3,F,4,2,2,2,Single,7,No,15,2,3,30,1,16,13,9,13,No
50,Travel_Rarely,1331,Sales,36,2,122,Research Scientist,Technical Degree,1,M,3,3,2,2,Married,4,No,11,3,1,38,4,14,13,4,15,Yes
27,Non-Travel,827,Human Resources,39,4,35,Sales Representative,Medical,2,M,3,6,5,5,Single,8,No,12,3,2,7,2,11,8,3,2,Yes
56,Non-Travel,1054,Human Resources,22,1,87,Laboratory Technician,Medical,4,M,3,5,5,5,Single,4,No,20,2,1,11,4,4,18,1,8,Yes
25,Non-Travel,604,Research & Development,35,3,76,Human Resources,Technical Degree,2,F,2,3,2,2,Married,0,No,23,1,2,3,3,3,12,15,1,No
19,Non-Travel,273,Sales,22,1,59,Laboratory Technician,Sales,1,F,2,4,5,2,Married,0,No,14,2,0,15,4,34,1,5,15,No
