Age,BusinessTravel,DailyRate,Department,DistanceFromHome,JobLevel,HourlyRate,MonthlyRate,MonthlyIncome,JobRole,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,training,JobSatisfaction,PerformanceRating,MaritalStatus,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
27,Travel_Rarely,779,Research & Development,41,1,68,10880,8704,Sales Representative,12,Human Resources,1,14-0803331,1,F,4,5,5,5,Married,3,Yes,No,19,2,80,1,33,3,34,1,15,14,No
45,Non-Travel,1438,Sales,38,2,121,19360,15488,Research Director,20,Other,1,22-2956185,1,F,3,6,5,5,Single,7,Yes,No,17,1,80,1,14,1,25,16,14,13,No
29,Travel_Rarely,763,Human Resources,10,3,146,23360,18688,Manufacturing Director,16,Technical Degree,1,61-1536323,1,F,2,1,1,1,Single,8,Yes,No,19,2,80,1,14,1,32,14,9,3,No
44,Travel_Rarely,1144,Research & Development,26,2,144,23040,18432,Sales Executive,18,Human Resources,1,49-4714107,1,M,2,2,2,2,Married,7,Yes,No,13,4,80,0,11,2,23,15,11,8,Yes
41,Travel_Rarely,1250,Sales,14,5,72,11520,9216,Research Scientist,20,Medical,1,08-4719408,3,F,2,1,1,1,Divorced,7,Yes,No,21,1,80,2,17,4,21,10,4,17,No
31,Travel_Rarely,442,Research & Development,1,1,118,18880,15104,Laboratory Technician,18,Human Resources,1,13-2247638,4,M,2,1,1,1,Single,7,Yes,No,13,2,80,0,26,2,2,7,8,5,Yes
33,Non-Travel,1282,Human Resources,28,1,44,7040,5632,Laboratory Technician,16,Technical Degree,1,64-2320986,1,F,4,5,5,5,Married,1,Yes,No,11,3,80,0,6,2,39,18,5,2,No
20,Travel_Rarely,804,Sales,26,3,138,22080,17664,Sales Executive,16,Medical,1,88-0369269,1,M,3,1,1,1,Single,2,Yes,No,11,3,80,2,8,3,14,7,11,16,Yes
22,Non-Travel,107,Sales,37,4,80,12800,10240,Research Director,16,Technical Degree,1,45-0167292,3,M,1,0,1,1,Married,7,Yes,No,23,4,80,3,16,4,8,18,12,2,No
22,Non-Travel,193,Sales,32,2,73,11680,9344,Manager,18,Medical,1,46-5729196,4,F,4,2,2,2,Single,8,Yes,No,10,3,80,0,13,2,0,13,15,6,Yes
29,Non-Travel,202,Human Resources,7,4,108,17280,13824,Research Scientist,18,Medical,1,72-0757086,1,M,3,5,5,5,Single,4,Yes,No,25,3,80,3,4,1,34,17,15,11,No
49,Non-Travel,730,Sales,26,5,117,18720,14976,Research Scientist,20,Technical Degree,1,92-8329638,4,F,3,4,5,2,Divorced,7,Yes,No,10,3,80,3,5,2,38,13,9,8,Yes
23,Non-Travel,1291,Research & Development,27,1,89,14240,11392,Sales Representative,18,Other,1,69-5010902,4,M,3,2,2,2,Single,8,Yes,No,13,1,80,1,22,1,7,14,6,10,Yes
28,Non-Travel,524,Human Resources,5,2,58,9280,7424,Manufacturing Director,16,Medical,1,66-1676584,4,F,1,5,5,5,Divorced,6,Yes,No,18,3,80,1,15,3,32,11,6,5,No
25,Travel_Rarely,1275,Sales,7,5,75,12000,9600,Manager,16,Human Resources,1,34-1895813,2,F,2,4,5,2,Single,3,Yes,No,20,4,80,2,6,1,32,16,14,12,No
41,Travel_Rarely,1411,Human Resources,49,3,57,9120,7296,Healthcare Representative,14,Human Resources,1,61-0384940,2,M,1,1,1,1,Single,3,Yes,No,23,2,80,2,39,4,8,20,7,6,No
47,Travel_Frequently,1491,Research & Development,44,1,103,16480,13184,Healthcare Representative,16,Other,1,73-5059529,4,M,3,3,2,2,Married,6,Yes,No,13,1,80,0,19,1,28,10,5,8,Yes
48,Travel_Frequently,1169,Research & Development,30,2,41,6560,5248,Laboratory Technician,16,Technical Degree,1,35-0385721,3,F,4,5,5,5,Single,8,Yes,No,11,2,80,0,7,4,38,9,4,2,No
22,Travel_Frequently,1061,Sales,49,2,76,12160,9728,Manufacturing Director,14,Human Resources,1,80-4102570,4,M,4,1,1,1,Single,6,Yes,No,25,4,80,1,9,2,34,13,13,6,Yes
59,Non-Travel,120,Human Resources,47,1,105,16800,13440,Healthcare Representative,12,Sales,1,35-5197110,1,F,4,4,5,2,Single,8,Yes,No,13,2,80,1,30,4,19,1,2,15,Yes
47,Travel_Frequently,792,Human Resources,10,1,123,19680,15744,Laboratory Technician,16,Other,1,97-3612428,3,F,1,5,5,5,Single,6,Yes,No,21,1,80,1,10,4,15,3,11,0,Yes
31,Travel_Frequently,1208,Research & Development,30,3,123,19680,15744,Manager,16,Human Resources,1,93-9249471,3,F,2,6,5,5,Married,2,Yes,No,10,1,80,1,20,1,14,7,5,2,No
52,Travel_Rarely,299,Human Resources,4,4,39,6240,4992,Laboratory Technician,18,Sales,1,71-1327969,2,M,3,6,5,5,Single,0,Yes,No,20,1,80,2,1,2,27,17,12,9,Yes
44,Travel_Rarely,545,Research & Development,13,1,145,23200,18560,Laboratory Technician,14,Life Sciences,1,84-2431821,1,F,2,2,2,2,Married,6,Yes,No,12,2,80,0,25,1,12,14,0,0,Yes
22,Travel_Frequently,1248,Research & Development,26,1,73,11680,9344,Laboratory Technician,16,Technical Degree,1,60-3679269,1,M,3,0,1,1,Married,6,Yes,No,22,4,80,0,29,4,33,20,2,14,No
40,Travel_Rarely,355,Research & Development,50,1,140,22400,17920,Healthcare Representative,12,Other,1,51-9052910,2,M,1,6,5,5,Divorced,8,Yes,No,17,2,80,0,21,4,39,8,7,15,No
49,Travel_Rarely,682,Research & Development,47,5,83,13280,10624,Research Director,20,Medical,1,96-9770014,2,M,1,3,2,2,Single,2,Yes,No,22,4,80,2,9,4,40,20,7,2,Yes
30,Travel_Frequently,1161,Sales,5,2,107,17120,13696,Manager,16,Life Sciences,1,91-6095288,3,M,2,5,5,5,Married,6,Yes,No,16,2,80,1,3,4,3,8,3,11,Yes
35,Travel_Frequently,1060,Research & Development,6,4,150,24000,19200,Manager,14,Human Resources,1,44-1763542,2,F,4,1,1,1,Divorced,0,Yes,No,13,2,80,2,2,2,4,5,3,15,Yes
26,Travel_Rarely,185,Sales,13,5,102,16320,13056,Research Director,20,Other,1,92-8411983,1,M,1,3,2,2,Single,8,Yes,No,12,3,80,3,23,1,11,18,3,3,Yes
44,Travel_Rarely,894,Human Resources,7,3,56,8960,7168,Research Director,16,Life Sciences,1,66-8830628,4,F,3,5,5,5,Married,3,Yes,No,21,3,80,2,35,3,32,9,1,6,No
49,Non-Travel,1448,Sales,33,3,92,14720,11776,Research Scientist,16,Other,1,80-3486629,1,F,4,1,1,1,Single,4,Yes,No,10,2,80,2,1,2,20,8,5,11,Yes
41,Travel_Rarely,1034,Research & Development,20,1,119,19040,15232,Laboratory Technician,16,Other,1,72-3863508,1,F,4,4,5,2,Married,0,Yes,No,23,4,80,1,17,4,25,11,8,2,Yes
36,Travel_Rarely,1464,Human Resources,14,4,138,22080,17664,Research Scientist,20,Life Sciences,1,54-9962789,1,M,2,6,5,5,Single,8,Yes,No,24,4,80,2,30,4,32,5,9,11,No
39,Travel_Rarely,1241,Research & Development,31,1,134,21440,17152,Human Resources,14,Sales,1,23-0253668,1,M,2,5,5,5,Divorced,8,Yes,No,20,2,80,1,29,3,6,5,2,7,No
56,Travel_Frequently,220,Research & Development,19,5,149,23840,19072,Manager,16,Medical,1,18-3675365,2,F,2,1,1,1,Single,2,Yes,No,20,4,80,3,9,4,4,5,0,12,Yes
41,Travel_Frequently,1076,Research & Development,41,5,81,12960,10368,Human Resources,12,Medical,1,82-4734440,3,F,4,5,5,5,Divorced,3,Yes,No,23,2,80,3,20,2,3,0,3,9,Yes
40,Travel_Rarely,905,Sales,4,3,71,11360,9088,Research Director,18,Human Resources,1,37-8710249,3,M,3,2,2,2,Divorced,1,Yes,No,14,4,80,2,9,3,11,15,6,13,Yes
54,Travel_Frequently,1169,Research & Development,2,4,62,9920,7936,Healthcare Representative,12,Technical Degree,1,40-1910636,1,F,1,5,5,5,Married,0,Yes,No,17,1,80,3,25,3,26,12,5,9,Yes
20,Travel_Rarely,872,Human Resources,2,5,125,20000,16000,Manufacturing Director,16,Technical Degree,1,05-1868905,3,F,3,0,1,1,Married,1,Yes,No,13,2,80,2,34,4,9,8,4,5,No
55,Travel_Rarely,763,Research & Development,9,2,40,6400,5120,Sales Representative,14,Sales,1,95-6110743,3,F,3,1,1,1,Single,7,Yes,No,15,1,80,0,21,3,33,15,1,11,Yes
59,Travel_Frequently,299,Sales,6,5,118,18880,15104,Research Director,16,Technical Degree,1,42-5124520,2,F,4,0,1,1,Divorced,6,Yes,No,18,4,80,3,35,1,34,8,4,13,Yes
51,Non-Travel,607,Research & Development,29,5,149,23840,19072,Human Resources,12,Other,1,00-7173871,1,F,1,2,2,2,Single,3,Yes,No,16,2,80,2,24,2,14,7,0,5,No
29,Travel_Frequently,1120,Research & Development,31,3,69,11040,8832,Sales Executive,14,Other,1,83-6870949,2,M,3,0,1,1,Divorced,6,Yes,No,12,1,80,2,28,4,17,11,9,4,Yes
25,Travel_Rarely,578,Sales,49,1,136,21760,17408,Laboratory Technician,16,Sales,1,38-9572923,4,M,4,2,2,2,Married,5,Yes,No,14,4,80,1,40,1,26,14,10,1,Yes
59,Travel_Rarely,1046,Sales,4,4,80,12800,10240,Manufacturing Director,16,Other,1,88-9986897,1,M,4,4,5,2,Married,7,Yes,No,11,4,80,2,16,4,23,13,14,8,Yes
53,Non-Travel,1307,Research & Development,22,3,115,18400,14720,Manufacturing Director,14,Life Sciences,1,55-0751457,4,F,3,0,1,1,Divorced,7,Yes,No,12,3,80,1,36,4,25,6,0,2,No
22,Non-Travel,866,Sales,36,5,145,23200,18560,Manufacturing Director,14,Medical,1,04-4647352,1,M,4,5,5,5,Single,6,Yes,No,15,2,80,3,2,3,30,8,8,3,Yes
35,Travel_Frequently,626,Sales,45,5,41,6560,5248,Research Scientist,18,Other,1,56-0008945,2,F,2,3,2,2,Married,6,Yes,No,25,4,80,3,5,2,15,9,6,16,No
37,Non-Travel,535,Sales,6,5,93,14880,11904,Research Scientist,20,Medical,1,32-4042796,3,M,2,4,5,2,Married,2,Yes,No,21,4,80,2,35,2,29,13,7,2,Yes
42,Non-Travel,215,Research & Development,34,2,121,19360,15488,Research Scientist,18,Technical Degree,1,18-4547958,4,M,2,6,5,5,Divorced,8,Yes,No,20,3,80,1,35,3,7,20,9,11,No
55,Non-Travel,796,Human Resources,32,1,74,11840,9472,Laboratory Technician,16,Medical,1,75-9380566,4,F,3,2,2,2,Single,8,Yes,No,11,3,80,0,9,4,19,3,4,4,Yes
51,Travel_Frequently,1163,Sales,3,2,95,15200,12160,Manufacturing Director,14,Sales,1,01-6696797,3,F,4,0,1,1,Single,1,Yes,No,19,2,80,1,36,1,7,4,11,15,No
49,Non-Travel,381,Sales,5,4,147,23520,18816,Research Scientist,20,Technical Degree,1,32-6084316,3,M,3,4,5,2,Single,1,Yes,No,18,4,80,2,3,3,34,17,5,8,Yes
60,Travel_Rarely,999,Sales,16,4,63,10080,8064,Sales Executive,16,Human Resources,1,93-7565107,3,F,2,5,5,5,Divorced,3,Yes,No,22,3,80,2,0,3,7,14,6,16,No
35,Travel_Rarely,1314,Research & Development,40,4,58,9280,7424,Research Director,16,Technical Degree,1,60-7030220,3,F,4,3,2,2,Married,7,Yes,No,13,3,80,3,18,1,22,19,7,11,Yes
45,Travel_Frequently,1289,Sales,9,2,54,8640,6912,Sales Executive,14,Human Resources,1,88-2515414,4,F,1,3,2,2,Single,2,Yes,No,11,4,80,0,31,2,40,3,8,12,No
44,Travel_Frequently,131,Research & Development,10,1,48,7680,6144,Laboratory Technician,16,Other,1,86-8956486,4,M,1,6,5,5,Married,6,Yes,No,24,2,80,0,12,1,38,0,6,6,Yes
51,Travel_Frequently,1043,Human Resources,4,2,82,13120,10496,Healthcare Representative,12,Medical,1,19-7437670,1,F,1,6,5,5,Divorced,3,Yes,No,14,3,80,0,16,1,14,5,12,16,No
22,Travel_Frequently,773,Research & Development,44,2,94,15040,12032,Manager,16,Human Resources,1,65-1862471,4,M,4,4,5,2,Single,0,Yes,No,23,2,80,0,3,2,22,9,7,9,No
28,Travel_Frequently,1010,Human Resources,21,2,112,17920,14336,Manager,16,Human Resources,1,08-0777826,3,M,1,4,5,2,Divorced,0,Yes,No,25,2,80,0,36,4,0,13,11,1,Yes
27,Non-Travel,215,Human Resources,10,4,97,15520,12416,Sales Representative,14,Human Resources,1,65-9023711,4,F,4,6,5,5,Single,0,Yes,No,25,3,80,2,7,1,0,1,9,12,No
38,Travel_Rarely,974,Human Resources,34,1,122,19520,15616,Laboratory Technician,14,Human Resources,1,78-4301534,3,F,2,6,5,5,Married,4,Yes,No,22,2,80,0,23,2,4,2,14,12,Yes
25,Travel_Rarely,983,Research & Development,36,1,98,15680,12544,Human Resources,12,Sales,1,70-1363839,2,F,4,0,1,1,Married,4,Yes,No,13,3,80,0,4,1,33,16,4,17,No
30,Non-Travel,1396,Human Resources,28,1,113,18080,14464,Laboratory Technician,18,Human Resources,1,24-7762871,4,M,3,6,5,5,Married,3,Yes,No,23,2,80,1,21,1,9,6,14,12,Yes
39,Travel_Frequently,1369,Sales,13,1,93,14880,11904,Sales Representative,16,Other,1,33-4623532,2,M,2,0,1,1,Married,2,Yes,No,24,2,80,0,31,4,26,4,15,4,No
45,Travel_Frequently,564,Human Resources,27,4,99,15840,12672,Manager,16,Medical,1,76-9767113,4,F,4,3,2,2,Divorced,1,Yes,No,11,2,80,3,15,4,0,3,5,6,Yes
38,Non-Travel,1485,Research & Development,20,2,90,14400,11520,Sales Representative,18,Technical Degree,1,30-3821650,2,F,4,4,5,2,Divorced,1,Yes,No,19,4,80,0,3,2,31,0,8,6,Yes
22,Travel_Rarely,175,Human Resources,37,5,141,22560,18048,Research Director,18,Other,1,62-3282689,1,M,1,1,1,1,Married,1,Yes,No,11,3,80,3,35,4,1,1,1,14,Yes
59,Travel_Rarely,105,Human Resources,43,5,39,6240,4992,Manufacturing Director,14,Life Sciences,1,19-3272865,4,F,4,6,5,5,Married,4,Yes,No,17,3,80,3,17,4,2,14,9,6,No
49,Travel_Rarely,212,Human Resources,18,1,50,8000,6400,Laboratory Technician,18,Life Sciences,1,06-5508019,3,M,1,3,2,2,Married,4,Yes,No,15,2,80,1,33,4,0,14,10,8,Yes
40,Non-Travel,570,Research & Development,34,3,33,5280,4224,Sales Representative,14,Technical Degree,1,11-0905856,3,F,2,3,2,2,Single,0,Yes,No,23,4,80,2,28,3,24,10,12,9,Yes
19,Travel_Rarely,1106,Sales,26,4,102,16320,13056,Sales Executive,16,Technical Degree,1,36-8523165,2,M,1,2,2,2,Single,8,Yes,No,19,1,80,2,37,4,25,18,7,10,Yes
59,Non-Travel,536,Research & Development,50,2,83,13280,10624,Manager,14,Human Resources,1,44-0741658,4,F,1,0,1,1,Married,6,Yes,No,22,2,80,0,8,3,5,3,14,14,Yes
27,Travel_Rarely,1289,Research & Development,37,3,146,23360,18688,Sales Executive,16,Technical Degree,1,42-2654881,3,M,4,6,5,5,Single,0,Yes,No,19,4,80,2,14,3,6,6,15,6,No
53,Travel_Frequently,720,Human Resources,28,4,55,8800,7040,Sales Representative,14,Technical Degree,1,53-2831248,4,F,1,3,2,2,Single,2,Yes,No,25,1,80,3,10,2,24,10,15,7,Yes
45,Non-Travel,270,Research & Development,29,2,117,18720,14976,Sales Executive,16,Human Resources,1,53-2744863,2,F,3,0,1,1,Single,8,Yes,No,14,3,80,1,13,3,1,6,14,4,Yes
24,Travel_Rarely,847,Sales,48,1,104,16640,13312,Laboratory Technician,16,Life Sciences,1,99-9727185,2,F,1,5,5,5,Single,8,Yes,No,11,2,80,1,33,1,31,19,13,2,No
49,Non-Travel,736,Sales,6,5,141,22560,18048,Sales Executive,16,Sales,1,94-9940052,4,F,3,2,2,2,Divorced,4,Yes,No,14,3,80,3,33,2,21,3,5,6,Yes
33,Travel_Rarely,920,Research & Development,8,2,66,10560,8448,Research Scientist,20,Life Sciences,1,29-3602704,4,M,3,1,1,1,Divorced,6,Yes,No,14,4,80,1,6,4,30,1,2,8,Yes
32,Travel_Frequently,572,Human Resources,34,4,50,8000,6400,Sales Executive,16,Sales,1,18-6913477,2,F,4,2,2,2,Married,8,Yes,No,20,2,80,3,36,2,38,11,14,16,No
18,Non-Travel,547,Sales,31,5,104,16640,13312,Manufacturing Director,16,Other,1,26-9879134,4,F,4,0,1,1,Married,7,Yes,No,14,3,80,3,38,4,14,13,10,10,Yes
51,Travel_Rarely,942,Research & Development,4,2,132,21120,16896,Sales Executive,18,Human Resources,1,32-2181857,4,M,1,0,1,1,Divorced,3,Yes,No,12,1,80,0,39,3,27,6,15,10,Yes
56,Travel_Frequently,1335,Sales,32,1,120,19200,15360,Healthcare Representative,16,Human Resources,1,43-8694777,4,F,1,4,5,2,Single,4,Yes,No,13,3,80,1,13,2,24,6,0,3,No
58,Non-Travel,155,Human Resources,31,3,120,19200,15360,Sales Executive,18,Sales,1,68-5709566,2,M,4,6,5,5,Divorced,5,Yes,No,17,4,80,2,36,3,27,11,13,12,No
47,Travel_Rarely,1115,Research & Development,1,2,134,21440,17152,Sales Executive,14,Technical Degree,1,93-1088515,3,F,3,4,5,2,Married,2,Yes,No,24,3,80,0,17,3,26,6,10,17,Yes
60,Non-Travel,477,Research & Development,38,5,60,9600,7680,Manager,16,Other,1,24-9362157,1,M,4,0,1,1,Married,3,Yes,No,14,2,80,3,27,2,13,12,15,7,Yes
47,Travel_Rarely,578,Human Resources,28,1,139,22240,17792,Healthcare Representative,14,Medical,1,27-3380748,4,F,4,5,5,5,Married,2,Yes,No,17,1,80,1,39,3,22,15,14,3,No
27,Non-Travel,490,Sales,36,3,72,11520,9216,Healthcare Representative,16,Technical Degree,1,06-2860279,4,F,4,2,2,2,Single,5,Yes,No,12,3,80,2,22,2,3,12,7,8,Yes
31,Non-Travel,1424,Research & Development,10,4,62,9920,7936,Laboratory Technician,16,Human Resources,1,85-8371765,2,M,4,4,5,2,Divorced,3,Yes,No,25,1,80,3,35,4,13,3,11,5,No
41,Non-Travel,1418,Research & Development,18,5,127,20320,16256,Research Director,20,Medical,1,84-0057574,2,F,2,5,5,5,Married,3,Yes,No,10,3,80,3,4,1,10,10,4,15,No
44,Travel_Frequently,165,Research & Development,11,4,135,21600,17280,Manufacturing Director,14,Sales,1,70-6044792,2,F,2,1,1,1,Divorced,2,Yes,No,15,4,80,2,39,1,9,5,4,1,Yes
34,Travel_Rarely,283,Research & Development,4,3,121,19360,15488,Research Director,20,Technical Degree,1,73-4299304,2,F,3,1,1,1,Divorced,5,Yes,No,18,4,80,1,33,2,8,0,6,2,Yes
41,Travel_Frequently,167,Research & Development,50,5,145,23200,18560,Manufacturing Director,14,Medical,1,74-2646087,4,F,2,1,1,1,Divorced,7,Yes,No,21,1,80,3,38,1,7,9,6,3,No
27,Travel_Frequently,1093,Sales,22,5,62,9920,7936,Sales Executive,14,Sales,1,41-5345544,2,F,2,3,2,2,Married,0,Yes,No,21,3,80,2,31,2,25,2,5,4,No
28,Travel_Rarely,1114,Research & Development,36,4,32,5120,4096,Sales Representative,16,Other,1,86-7695604,1,F,2,3,2,2,Single,2,Yes,No,19,3,80,2,20,2,4,17,15,0,Yes
31,Travel_Rarely,1098,Human Resources,10,3,83,13280,10624,Research Director,18,Life Sciences,1,66-2051174,4,M,3,3,2,2,Single,0,Yes,No,18,1,80,1,25,3,16,7,1,9,Yes
41,Travel_Frequently,1245,Research & Development,19,3,106,16960,13568,Sales Executive,14,Human Resources,1,16-1537117,4,M,4,4,5,2,Married,3,Yes,No,14,3,80,2,6,3,1,10,1,16,Yes
22,Travel_Frequently,1332,Human Resources,46,2,33,5280,4224,Human Resources,14,Sales,1,78-4310280,3,M,1,2,2,2,Married,3,Yes,No,16,4,80,0,19,2,32,10,3,14,Yes
51,Non-Travel,443,Research & Development,20,5,121,19360,15488,Manager,14,Sales,1,81-3440047,3,F,3,3,2,2,Single,5,Yes,No,17,3,80,3,1,3,20,17,10,15,Yes
59,Travel_Frequently,342,Sales,31,1,104,16640,13312,Sales Representative,14,Technical Degree,1,43-4308286,3,F,4,5,5,5,Divorced,4,Yes,No,13,3,80,0,9,1,40,12,11,14,No
47,Non-Travel,1302,Research & Development,21,3,138,22080,17664,Sales Executive,14,Human Resources,1,14-1016526,3,M,1,1,1,1,Married,1,Yes,No,12,1,80,2,19,2,6,10,10,5,Yes
19,Travel_Frequently,528,Human Resources,33,1,85,13600,10880,Healthcare Representative,16,Other,1,62-5448546,3,F,4,6,5,5,Married,7,Yes,No,22,2,80,0,18,3,34,6,6,6,No
18,Travel_Frequently,1439,Human Resources,28,1,37,5920,4736,Sales Representative,18,Medical,1,26-3916398,1,F,2,2,2,2,Married,4,Yes,No,17,3,80,1,2,2,32,9,7,5,Yes
39,Non-Travel,567,Sales,35,5,71,11360,9088,Sales Executive,18,Life Sciences,1,83-4197971,4,M,1,6,5,5,Single,6,Yes,No,21,1,80,3,18,1,5,15,14,5,Yes
41,Travel_Frequently,547,Sales,49,2,71,11360,9088,Manager,14,Medical,1,28-2372045,4,M,4,1,1,1,Married,6,Yes,No,12,3,80,1,16,2,32,4,5,12,Yes
46,Travel_Rarely,1299,Research & Development,35,4,120,19200,15360,Sales Executive,16,Medical,1,05-7875332,4,M,2,2,2,2,Divorced,0,Yes,No,13,3,80,3,11,2,4,17,11,0,Yes
22,Travel_Frequently,378,Research & Development,48,2,76,12160,9728,Healthcare Representative,12,Technical Degree,1,57-2028558,2,M,2,6,5,5,Married,7,Yes,No,18,2,80,1,34,3,39,9,1,17,Yes
30,Non-Travel,388,Human Resources,47,4,30,4800,3840,Sales Representative,14,Other,1,76-8109266,2,F,2,5,5,5,Divorced,4,Yes,No,19,2,80,3,30,3,12,8,13,10,Yes
47,Travel_Rarely,1133,Research & Development,24,5,81,12960,10368,Research Director,16,Sales,1,67-2922866,3,F,3,1,1,1,Married,0,Yes,No,13,1,80,3,11,3,33,1,10,0,Yes
21,Travel_Rarely,554,Human Resources,41,2,145,23200,18560,Research Director,16,Life Sciences,1,69-8899617,1,M,4,4,5,2,Married,4,Yes,No,25,4,80,0,38,2,16,6,4,11,No
43,Travel_Frequently,1443,Research & Development,19,2,136,21760,17408,Manager,14,Human Resources,1,05-1476217,3,M,1,3,2,2,Single,8,Yes,No,15,2,80,0,21,1,1,3,6,11,Yes
19,Travel_Frequently,143,Research & Development,13,5,127,20320,16256,Sales Executive,16,Medical,1,95-6172136,2,F,2,4,5,2,Married,7,Yes,No,16,3,80,2,10,3,19,4,11,5,No
39,Travel_Frequently,931,Research & Development,15,5,134,21440,17152,Research Director,20,Sales,1,58-9843410,3,M,1,5,5,5,Single,0,Yes,No,22,1,80,3,2,1,22,20,0,11,Yes
39,Non-Travel,1178,Research & Development,46,3,95,15200,12160,Manufacturing Director,16,Life Sciences,1,25-9435637,4,F,1,4,5,2,Married,3,Yes,No,14,4,80,2,28,3,3,19,2,7,Yes
52,Travel_Frequently,769,Sales,42,2,110,17600,14080,Manufacturing Director,16,Human Resources,1,69-7437888,1,F,1,5,5,5,Single,3,Yes,No,18,2,80,1,13,4,0,12,4,15,Yes
30,Non-Travel,519,Research & Development,45,4,148,23680,18944,Research Director,20,Technical Degree,1,87-7350168,4,M,4,6,5,5,Single,7,Yes,No,19,1,80,3,35,2,40,6,0,3,No
21,Non-Travel,381,Sales,24,2,128,20480,16384,Sales Executive,16,Human Resources,1,16-6879489,4,M,4,5,5,5,Single,5,Yes,No,12,1,80,1,38,4,1,0,13,7,No
31,Travel_Frequently,637,Human Resources,35,2,61,9760,7808,Manager,16,Medical,1,37-9791899,4,F,3,1,1,1,Divorced,7,Yes,No,21,3,80,0,31,3,37,5,8,8,Yes
19,Travel_Rarely,679,Human Resources,4,3,32,5120,4096,Healthcare Representative,16,Technical Degree,1,21-0083725,2,F,2,3,2,2,Married,8,Yes,No,19,3,80,1,26,1,16,16,10,5,Yes
53,Travel_Frequently,1189,Human Resources,21,2,58,9280,7424,Research Director,20,Other,1,09-1511201,1,F,1,3,2,2,Divorced,8,Yes,No,18,3,80,1,14,3,34,19,5,6,Yes
